is_cancelled,lead_time,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,is_repeated_guest,previous_cancellations,previous_bookings_not_cancelled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests
0,83,0,1,0,0,0,0,0,0,A,A,2,No Deposit,0,Transient-Party,122.2976880447032,0,1
0,335,1,2,2,0,0,0,0,0,A,K,0,Non Refund,0,Transient,67.98918101611972,0,1
0,93,0,2,2,0,0,0,0,0,A,G,0,Non Refund,0,Transient,77.0025375817081,0,1
0,115,3,5,0,0,0,0,0,0,A,A,1,No Deposit,0,Transient,56.92637987407757,0,1
0,420,0,1,1,0,0,0,0,0,H,A,0,Non Refund,0,Group,34.92699914154549,0,0
1,256,5,0,1,0,0,0,0,0,A,A,0,No Deposit,45,Transient,107.69310572210703,0,2
1,0,0,4,2,2,0,0,0,0,D,A,1,No Deposit,0,Transient,75.0514159430725,1,0
0,265,1,5,2,0,0,0,0,0,A,A,1,No Deposit,0,Transient,62.552767973160016,0,0
0,83,2,1,1,0,0,1,0,0,D,D,0,Refundable,0,Transient,46.36397436766422,1,2
0,144,1,4,2,0,0,0,0,0,A,H,0,No Deposit,0,Transient,66.4963413576118,0,1
1,86,0,5,3,0,0,0,0,0,A,A,1,Refundable,0,Transient,143.90093614219205,0,1
0,0,1,11,2,0,0,0,0,0,A,A,0,Non Refund,15,Transient,166.56073835785688,0,0
0,303,1,0,2,0,0,0,1,0,A,D,0,No Deposit,0,Transient,106.98524454935794,0,2
0,259,1,2,2,0,0,0,0,0,A,A,0,No Deposit,0,Transient-Party,123.01473404164801,0,0
0,123,2,1,2,1,0,0,0,0,A,A,0,No Deposit,0,Transient,162.2711807092885,0,0
0,0,0,1,2,0,0,0,0,0,A,A,0,No Deposit,0,Transient,112.62310474294256,0,1
1,225,2,4,1,0,0,0,0,0,E,A,1,Non Refund,68,Transient,40.11075216201877,0,1
0,0,3,1,2,0,0,0,0,0,A,A,2,No Deposit,109,Transient,73.7641187375856,0,2
0,38,1,0,1,0,0,0,0,0,A,A,0,No Deposit,0,Transient,111.48802230512403,0,1
1,152,2,1,2,0,0,0,0,0,D,F,1,No Deposit,0,Transient,120.95477626020914,0,0
0,1,0,2,2,1,0,0,0,0,A,A,4,No Deposit,0,Transient,115.30193095444986,1,0
1,343,4,2,3,0,0,0,1,0,D,B,0,Non Refund,0,Transient,54.51616453298633,0,1
0,89,2,2,2,0,0,0,0,0,A,A,0,Non Refund,0,Transient,44.01906711702796,0,1
0,5,1,5,1,1,0,0,11,0,F,A,0,No Deposit,0,Transient,107.29307138221549,0,1
0,70,2,1,2,0,0,0,0,0,A,E,0,No Deposit,0,Transient,217.4978679817415,0,1
0,202,1,1,2,0,0,0,0,0,A,D,1,No Deposit,0,Transient,102.08546738394101,0,0
0,2,1,1,2,0,0,0,0,0,D,B,0,Non Refund,0,Transient,164.39631827598436,0,0
0,343,1,2,1,0,0,0,0,0,A,A,0,No Deposit,0,Transient,198.92906531409457,2,1
0,160,0,1,2,0,0,0,0,0,A,A,0,No Deposit,0,Transient,98.82376225615212,0,1
0,0,2,1,2,0,0,0,0,0,A,F,0,No Deposit,0,Contract,109.65511187638084,0,0
1,46,0,2,1,0,0,0,0,0,D,A,0,No Deposit,0,Contract,66.70724243568768,0,0
0,9,2,4,1,0,0,0,0,0,A,A,0,No Deposit,35,Transient,113.13833879625959,0,0
0,312,2,0,1,0,0,0,0,0,D,A,5,No Deposit,0,Transient-Party,87.1411026435134,0,2
0,2,4,0,2,0,0,0,0,0,A,B,0,No Deposit,0,Transient,80.55631822246895,0,4
0,90,3,2,2,0,0,0,0,0,A,A,0,No Deposit,0,Transient,58.78007966280445,1,0
1,97,8,3,1,0,0,0,0,0,A,A,0,No Deposit,89,Transient-Party,73.3573826994317,0,0
1,615,0,2,2,0,0,0,0,0,A,A,0,No Deposit,0,Transient-Party,56.17648895051713,0,0
0,391,1,2,2,0,0,0,0,0,A,A,1,No Deposit,0,Transient,123.66662828353451,1,1
0,244,1,1,2,0,0,1,0,0,A,D,1,No Deposit,0,Transient,57.93170130192273,0,1
1,338,0,15,1,0,0,0,0,0,B,A,0,No Deposit,0,Transient,119.1965386977205,1,0
0,386,0,1,4,0,0,0,1,0,A,A,0,No Deposit,0,Transient,97.30779641911893,0,1
0,41,2,0,1,0,0,0,0,0,A,A,1,No Deposit,0,Transient,63.62843648917758,0,0
1,4,1,2,2,1,0,0,0,0,A,D,2,No Deposit,0,Transient,20.0369379428383,0,1
0,96,0,3,2,0,0,0,0,0,A,D,1,No Deposit,0,Transient,124.49884475817127,0,2
0,195,0,6,1,0,1,0,0,0,A,A,1,No Deposit,0,Transient-Party,180.6244192917742,0,0
1,94,2,0,2,0,0,0,0,0,F,F,0,No Deposit,0,Transient,62.92923353130164,0,0
0,8,0,1,2,0,0,0,1,0,A,E,0,No Deposit,0,Transient,117.89807287930182,0,2
0,111,2,2,1,0,0,0,1,0,A,D,1,No Deposit,0,Transient,107.27411677821617,0,2
0,0,1,4,2,0,0,0,0,0,E,A,1,No Deposit,0,Transient,165.53035901257297,0,0
0,167,0,4,1,2,0,0,0,0,A,A,1,Non Refund,10,Transient,71.56385533151987,0,0
0,233,0,14,1,1,0,0,0,0,A,A,0,No Deposit,0,Transient,100.81412755969079,0,1
1,69,0,1,2,0,0,0,0,0,A,K,0,No Deposit,0,Transient,63.93204421662696,0,0
0,99,2,3,1,0,0,0,0,0,G,G,0,No Deposit,0,Transient,56.96965164220048,0,1
0,0,1,5,2,0,0,0,0,0,A,E,2,No Deposit,0,Transient,92.17085242883455,0,0
0,141,3,9,2,0,0,0,0,0,A,A,0,No Deposit,0,Transient,148.41063910344482,0,2
0,119,3,5,2,0,0,0,0,0,A,A,0,No Deposit,0,Transient,17.625525319902856,0,1
1,1,0,1,1,0,0,0,0,0,A,A,0,No Deposit,0,Transient,111.38072984237247,0,2
0,2,0,5,4,0,0,0,0,0,A,A,1,No Deposit,0,Transient-Party,120.80449305798048,1,0
1,0,3,1,2,1,0,0,2,0,H,D,0,Non Refund,0,Transient,89.01182179721269,0,4
0,135,2,2,2,0,0,0,0,0,A,D,0,No Deposit,0,Transient-Party,172.8801333580329,1,1
0,448,1,2,2,0,0,0,0,0,A,A,2,No Deposit,0,Transient,176.18138722289106,0,4
0,566,0,6,2,0,0,0,1,0,A,A,0,No Deposit,0,Transient,94.18023867025194,0,0
0,2,0,2,1,0,0,0,1,0,D,A,0,Non Refund,0,Transient-Party,49.86672634292349,0,0
0,137,0,2,2,0,0,0,0,0,A,B,0,No Deposit,0,Transient,116.05238353570185,0,1
0,24,0,1,2,0,0,0,0,0,A,D,0,No Deposit,0,Transient,51.0589123231582,0,2
0,0,1,3,2,0,0,0,0,0,A,A,0,No Deposit,35,Contract,70.75595878173199,0,0
0,149,0,1,2,0,0,0,0,0,A,E,1,No Deposit,0,Transient,15.247036430875461,0,0
0,0,1,1,2,0,0,0,0,0,L,B,0,No Deposit,0,Transient,49.84512165188622,0,2
0,405,0,2,1,0,0,0,0,1,A,A,1,No Deposit,0,Transient-Party,70.93717971881614,0,1
0,150,1,1,2,0,0,1,0,0,A,A,0,Non Refund,0,Transient,117.99683170602813,0,1
1,0,5,1,1,0,0,0,0,0,A,A,1,No Deposit,0,Contract,74.18167958175896,1,0
1,16,0,4,2,0,0,0,0,0,C,B,1,No Deposit,147,Contract,99.43145371761324,2,0
0,17,1,9,2,0,0,0,0,0,A,A,0,No Deposit,0,Transient,210.63678129943213,0,0
0,284,1,1,1,0,0,1,0,0,A,A,0,No Deposit,0,Transient,90.6214143959132,0,3
0,107,0,4,1,0,0,0,0,0,A,A,0,Non Refund,0,Transient,42.09929135382904,0,0
0,542,0,3,2,0,0,0,0,0,A,K,0,No Deposit,0,Transient,199.95357245633605,0,5
1,125,0,1,1,0,0,0,0,0,C,D,0,No Deposit,0,Transient-Party,123.84037525808498,0,0
0,140,0,1,4,0,0,0,0,0,A,A,0,No Deposit,0,Transient,89.57001249371922,1,2
0,368,1,1,2,1,0,0,0,0,A,A,1,Non Refund,0,Transient-Party,130.73238526825878,0,0
0,309,1,6,2,3,0,0,0,0,C,A,1,No Deposit,0,Group,193.96792620433,0,2
1,281,1,1,2,0,0,0,0,0,A,D,2,No Deposit,0,Contract,103.09996658096085,0,1
1,84,0,2,1,0,0,0,0,1,A,B,0,No Deposit,0,Transient,88.49151421664618,0,0
1,329,2,5,2,0,0,0,0,0,A,A,0,Non Refund,0,Transient,45.74118643434912,0,1
0,518,0,3,2,0,0,0,1,0,A,E,0,No Deposit,0,Transient,56.94490817520304,0,0
1,411,1,2,2,2,0,0,0,0,A,A,1,No Deposit,0,Contract,101.35688483109574,0,2
0,329,4,1,1,0,0,0,0,21,D,D,0,Non Refund,0,Transient,142.889204484652,0,2
1,0,2,0,2,0,1,0,0,0,G,A,0,No Deposit,0,Transient-Party,112.64864000755801,1,0
0,227,1,0,2,0,0,0,0,0,E,A,1,No Deposit,0,Transient,133.86379046443128,0,3
0,43,2,2,2,0,0,0,0,0,A,D,0,No Deposit,0,Transient,120.90805836034967,0,0
0,67,0,5,2,0,0,0,0,0,A,A,7,No Deposit,0,Contract,90.07223297909262,0,2
1,0,1,2,3,0,0,0,0,0,A,A,1,No Deposit,0,Transient,112.00487536287005,0,1
1,81,2,0,2,0,0,0,1,0,A,A,1,No Deposit,0,Transient,39.845272022725524,0,2
1,0,1,5,1,2,0,0,0,0,A,B,0,Non Refund,0,Transient,151.66116686501528,0,1
0,468,0,2,2,0,0,0,1,0,D,H,0,No Deposit,0,Transient,73.83824715614641,0,0
1,320,1,2,2,0,0,0,0,0,A,A,1,No Deposit,0,Transient,94.14771268196615,0,0
0,13,0,1,2,0,0,0,0,0,A,F,1,No Deposit,0,Transient,55.9966050420475,2,0
1,242,2,2,2,0,0,0,0,0,A,A,8,No Deposit,0,Transient-Party,151.23063753264307,1,0
0,9,0,6,2,0,0,0,0,0,A,A,0,No Deposit,0,Transient,56.70649253223327,0,0
1,220,0,2,1,0,0,0,0,0,A,G,0,No Deposit,0,Transient,54.79044592861588,2,0
0,79,2,2,2,0,0,0,0,0,A,A,0,No Deposit,0,Transient,184.81973348736668,0,0
0,95,1,1,2,1,1,0,1,0,A,E,1,No Deposit,0,Transient,89.69467167766997,0,0
0,240,1,1,1,0,0,0,0,0,L,G,6,No Deposit,0,Transient-Party,110.59052276046255,0,0
0,333,0,2,2,2,0,1,0,0,A,A,0,No Deposit,0,Transient,60.19265711377187,0,0
0,181,8,1,2,0,0,0,0,0,A,D,0,No Deposit,111,Transient,83.57709233733317,0,1
0,165,2,4,2,0,0,0,0,0,A,D,0,No Deposit,0,Transient,123.80340871914126,0,1
0,179,8,2,2,-1,0,0,0,0,A,A,1,No Deposit,75,Transient-Party,103.45494883795959,0,0
0,356,2,5,2,1,0,0,0,0,A,G,0,Non Refund,0,Transient,48.7702958277596,0,1
0,457,1,3,2,0,0,0,0,0,A,G,0,No Deposit,0,Transient,59.179281050880064,0,5
0,193,0,1,2,0,0,1,0,0,A,A,0,No Deposit,0,Contract,251.6182822631257,0,0
1,143,0,1,2,0,0,0,0,0,A,A,0,No Deposit,0,Contract,63.447460194793514,0,0
0,5,2,3,1,0,0,0,0,0,D,D,0,No Deposit,8,Transient,69.92557854561915,0,0
0,298,4,1,1,0,0,1,0,0,A,A,0,No Deposit,0,Transient,65.96958036987334,0,0
1,176,0,4,1,0,0,0,0,0,E,G,1,Non Refund,0,Transient,39.51117464278806,0,0
0,135,1,3,2,0,0,0,0,0,A,A,1,No Deposit,0,Transient,101.02171225890726,0,1
0,489,2,15,2,0,0,0,0,0,A,F,1,No Deposit,0,Transient,65.68768196844259,0,2
0,31,5,3,1,0,0,0,0,0,F,A,0,No Deposit,0,Transient-Party,120.8691811405577,0,0
1,0,6,2,4,0,0,0,0,0,A,E,4,No Deposit,15,Transient,69.74685825857104,0,1
0,3,0,5,2,0,0,0,0,0,D,E,1,No Deposit,0,Transient,68.77155425317345,0,2
0,349,1,5,2,0,0,0,0,0,D,G,0,No Deposit,0,Transient,194.2594907148609,0,0
0,197,1,1,2,0,0,0,0,0,A,A,0,No Deposit,0,Transient-Party,111.77499418564234,0,0
0,11,2,10,2,0,0,1,0,0,D,D,13,No Deposit,0,Group,96.86526984015293,1,0
1,1,1,2,2,0,0,0,0,0,A,A,0,No Deposit,0,Transient,85.06567778719082,0,2
0,302,1,2,1,0,1,0,0,11,F,D,0,Refundable,0,Transient,96.4040064073975,0,0
0,146,2,2,1,1,0,0,0,0,A,A,0,No Deposit,147,Contract,77.0332488795716,0,0
0,279,1,1,2,1,0,0,0,0,D,D,3,No Deposit,0,Transient,67.51485474472935,0,0
0,257,2,1,1,0,0,0,3,0,D,D,1,No Deposit,0,Transient,82.47210759859007,0,0
0,3,0,2,4,0,0,0,0,0,A,D,0,No Deposit,0,Transient,112.57553978087643,0,5
0,203,1,2,2,1,0,0,0,0,A,A,1,No Deposit,0,Transient,72.30444825098465,0,1
0,391,1,2,1,3,0,0,24,0,C,A,0,No Deposit,0,Transient,91.5175079340131,0,0
1,41,1,0,2,0,0,1,0,0,A,E,1,No Deposit,55,Transient,48.8242930110613,1,0
0,20,0,5,2,0,0,0,0,0,A,B,4,No Deposit,81,Transient,120.40467442295211,0,0
0,346,2,1,3,0,0,0,0,0,D,A,1,No Deposit,0,Transient,153.2433996242103,0,0
0,226,0,2,3,0,1,0,0,0,A,A,0,No Deposit,0,Transient,58.52777858356251,0,3
0,23,1,1,3,0,0,0,0,0,A,B,1,No Deposit,0,Transient-Party,93.0324180634684,1,1
0,117,2,7,2,0,0,0,0,0,E,D,0,No Deposit,0,Transient,70.5317267798896,0,0
0,80,0,2,2,1,0,0,0,0,E,A,0,No Deposit,0,Transient,160.47044672639026,0,0
0,6,0,9,1,1,0,0,0,0,E,B,1,No Deposit,65,Transient,105.41276764481012,0,2
1,119,1,2,3,0,0,0,0,0,A,A,1,No Deposit,0,Transient,62.25878891767389,1,0
0,0,0,2,2,0,0,0,0,0,A,A,1,No Deposit,0,Contract,39.76781135846656,0,0
0,16,2,1,2,0,0,1,1,0,G,D,0,No Deposit,0,Contract,13.665724487048877,0,0
0,0,1,2,2,0,0,0,0,0,A,A,0,No Deposit,0,Transient,184.96879752612398,1,1
0,0,1,1,1,0,0,0,0,0,A,D,1,No Deposit,0,Transient,60.643968643061726,0,0
1,276,0,1,2,0,0,0,0,0,F,A,2,No Deposit,0,Transient,132.2231198536803,0,0
0,259,1,2,2,0,0,0,0,0,A,A,0,No Deposit,259,Transient,150.5914772969002,0,0
0,100,0,1,2,3,0,0,0,43,A,A,1,No Deposit,0,Transient,39.68243202638124,0,2
0,274,0,2,2,0,0,0,0,0,A,D,1,No Deposit,0,Transient,105.70002683117633,0,0
0,0,2,1,1,2,0,0,0,0,E,A,0,No Deposit,0,Transient,75.31230257492169,0,0
0,78,1,1,3,0,0,0,0,0,E,A,0,No Deposit,0,Contract,144.79500947524787,0,1
0,207,2,5,2,0,0,1,0,0,F,A,0,No Deposit,0,Transient,34.73709936443002,0,0
0,40,0,1,1,0,0,0,0,0,A,C,0,Non Refund,0,Transient,56.535733197244916,0,0
0,41,16,14,2,0,0,0,0,0,A,D,0,No Deposit,0,Transient,70.54207839379484,0,0
1,141,0,2,2,0,0,0,0,1,A,A,0,No Deposit,0,Contract,57.4511037784104,0,4
1,315,1,1,1,1,0,0,0,0,G,A,0,No Deposit,0,Transient,20.48530982648137,0,1
0,3,1,1,2,0,0,0,0,0,E,A,0,No Deposit,0,Transient,98.1251368381174,0,2
0,0,0,5,2,0,0,0,0,0,A,A,0,No Deposit,0,Transient,136.5062951980791,0,0
0,0,16,1,0,0,0,0,0,0,A,E,1,No Deposit,215,Transient,44.403203004733115,1,0
0,3,2,1,2,0,0,0,0,0,D,A,0,No Deposit,0,Contract,60.97331287464857,0,1
1,239,2,2,3,0,0,0,0,0,A,A,0,No Deposit,0,Transient,110.22134787691841,0,0
1,136,1,5,2,0,1,1,0,0,A,A,0,No Deposit,0,Transient,84.68589888381713,0,3
0,1,2,0,2,0,0,0,0,0,E,A,0,No Deposit,0,Transient,111.96729674723113,0,1
0,166,0,2,1,0,0,0,0,0,A,D,4,No Deposit,0,Transient,170.15437681779846,0,3
0,0,1,4,1,0,0,0,1,0,A,A,0,No Deposit,0,Transient,75.346851547814,0,0
1,1,1,2,2,0,0,0,0,0,D,A,0,No Deposit,0,Transient,33.37249914188115,0,1
0,353,1,2,2,0,0,0,0,48,A,A,0,Non Refund,0,Transient,111.68595525533127,0,0
0,0,0,2,2,0,0,0,0,0,E,C,0,No Deposit,0,Transient,116.63735418410012,0,1
1,267,2,2,2,0,0,0,0,7,A,A,1,No Deposit,0,Transient,105.36253890501143,0,2
0,264,2,2,2,0,0,0,0,0,C,A,0,No Deposit,0,Transient,83.18183014621569,0,0
1,58,3,8,1,2,0,0,1,0,A,F,1,No Deposit,0,Transient,51.453803690873606,0,1
1,2,0,1,2,0,0,0,0,0,A,A,1,No Deposit,0,Transient,73.91159619921498,0,1
1,587,0,10,1,0,0,0,0,0,A,A,0,No Deposit,0,Transient,138.96176591202592,0,0
1,28,1,1,2,1,0,0,0,0,A,G,0,No Deposit,0,Transient,112.66233894899888,0,0
1,4,0,5,1,0,0,0,0,0,A,D,1,No Deposit,0,Transient,29.39327816644922,0,0
0,3,1,2,2,0,0,0,0,4,A,A,0,Non Refund,38,Transient,64.53204766163103,0,0
0,0,2,2,1,0,0,0,5,0,A,D,0,No Deposit,0,Transient,115.05728035387769,0,0
1,1,0,1,1,2,0,0,0,0,A,A,7,No Deposit,0,Transient,84.149847765228,0,0
0,45,0,2,2,0,0,0,0,0,A,A,0,No Deposit,0,Transient-Party,61.664485018053824,0,1
0,19,0,2,2,0,1,0,0,0,A,G,0,No Deposit,0,Transient,75.563148846992,0,0
1,301,1,2,2,0,0,0,0,0,A,G,0,No Deposit,0,Transient,30.139007447643692,0,0
0,84,0,2,2,0,0,0,0,0,A,A,0,No Deposit,0,Transient,132.759448121935,0,0
0,457,0,1,2,0,0,0,0,0,G,A,0,No Deposit,0,Transient,106.83742901821851,0,0
0,111,2,2,2,0,0,0,0,0,A,D,0,No Deposit,120,Transient,43.173400836756755,1,1
1,102,0,4,3,0,0,0,0,0,A,D,0,Non Refund,0,Transient,40.19377491143866,0,0
1,179,1,4,2,0,0,0,0,0,A,D,1,No Deposit,0,Contract,110.4277445784011,0,0
0,350,1,1,2,0,0,0,0,0,A,G,0,Non Refund,0,Transient,32.836317218128805,0,0
0,288,0,8,1,2,0,0,0,0,A,A,3,No Deposit,0,Transient-Party,36.384029325870806,0,1
0,171,2,5,2,0,0,0,0,0,A,E,0,No Deposit,0,Transient-Party,26.09163004978868,0,0
1,237,3,2,1,0,0,0,0,0,A,A,1,No Deposit,0,Transient,130.05381586666064,0,0
0,141,2,3,2,0,0,0,0,0,E,F,1,No Deposit,0,Transient,103.54475386786203,0,0
0,37,1,2,2,0,0,0,0,0,E,A,8,No Deposit,0,Transient,31.908784258933302,1,2
1,39,0,2,2,2,0,0,0,0,A,A,1,No Deposit,96,Transient,263.5057776122811,1,3
0,123,1,1,1,0,0,1,0,0,A,C,0,No Deposit,0,Transient,110.86622238544005,0,0
0,204,2,1,2,0,0,1,1,0,H,A,0,No Deposit,0,Transient,68.11518635633914,0,3
1,1,1,4,2,0,0,0,0,25,A,A,0,No Deposit,0,Transient,52.77549411407277,0,0
0,132,1,1,2,2,0,0,0,0,A,A,0,No Deposit,0,Group,55.41577818629063,0,0
1,2,1,5,1,0,0,0,0,0,A,B,0,No Deposit,0,Transient,168.18912026714733,1,0
1,0,2,1,3,0,0,0,2,0,A,A,0,No Deposit,0,Transient,24.00617849216827,0,1
0,201,1,2,2,1,0,1,0,0,D,A,0,No Deposit,0,Transient,62.94060154772167,0,2
0,9,1,1,1,0,1,0,5,0,A,A,1,No Deposit,0,Transient-Party,105.82451641330255,0,0
0,220,0,1,2,1,0,0,0,0,D,A,0,No Deposit,224,Transient,147.2744016957879,0,1
0,1,1,2,2,0,0,0,0,0,A,A,0,No Deposit,0,Transient,77.65853056380082,0,0
0,0,1,1,1,0,0,0,0,0,A,F,0,No Deposit,0,Transient,130.4089623967957,0,0
0,317,6,3,1,0,0,0,1,0,A,A,1,No Deposit,1,Group,135.70248420091522,0,2
1,275,4,1,1,0,0,0,0,0,A,D,0,No Deposit,0,Transient-Party,88.85812909732145,0,1
1,9,0,2,1,0,0,0,0,0,E,B,1,No Deposit,0,Transient,94.85993307367885,0,0
0,239,0,1,1,0,0,0,0,0,A,F,0,No Deposit,62,Transient,107.14473575187085,0,1
0,32,2,1,2,0,0,0,0,0,C,A,0,No Deposit,0,Transient,52.9553814277417,1,2
